x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
3.1156,3.5282,0.41409,0.33091,3.0803,3.3748,0.41078,0.38796,-0.2,3.0465,3.2214,0.4069,0.44501,-0.2,3.0143,2.9146,0.40245,0.50207,-0.2,2.9852,2.6078,0.39743,0.55341,-0.2,2.9591,2.6078,0.3919,0.61047,-0.2
-3.1308,3.6816,0.41683,0.27385,3.1156,3.5282,0.41409,0.33091,-0.2,3.0803,3.3748,0.41078,0.38796,-0.2,3.0465,3.2214,0.4069,0.44501,-0.2,3.0143,2.9146,0.40245,0.50207,-0.2,2.9852,2.6078,0.39743,0.55341,-0.2
-3.0909,3.9884,0.41911,0.22821,-3.1308,3.6816,0.41683,0.27385,-0.2,3.1156,3.5282,0.41409,0.33091,-0.2,3.0803,3.3748,0.41078,0.38796,-0.2,3.0465,3.2214,0.4069,0.44501,-0.2,3.0143,2.9146,0.40245,0.50207,-0.2
-3.051,3.9884,0.42082,0.17116,-3.0909,3.9884,0.41911,0.22821,-0.2,-3.1308,3.6816,0.41683,0.27385,-0.2,3.1156,3.5282,0.41409,0.33091,-0.2,3.0803,3.3748,0.41078,0.38796,-0.2,3.0465,3.2214,0.4069,0.44501,-0.2
-3.0081,4.2952,0.42202,0.11981,-3.051,3.9884,0.42082,0.17116,-0.2,-3.0909,3.9884,0.41911,0.22821,-0.2,-3.1308,3.6816,0.41683,0.27385,-0.2,3.1156,3.5282,0.41409,0.33091,-0.2,3.0803,3.3748,0.41078,0.38796,-0.2
-2.9651,4.2952,0.42276,0.074169,-3.0081,4.2952,0.42202,0.11981,-0.2,-3.051,3.9884,0.42082,0.17116,-0.2,-3.0909,3.9884,0.41911,0.22821,-0.2,-3.1308,3.6816,0.41683,0.27385,-0.2,3.1156,3.5282,0.41409,0.33091,-0.2
-2.9207,4.4486,0.42299,0.022821,-2.9651,4.2952,0.42276,0.074169,-0.2,-3.0081,4.2952,0.42202,0.11981,-0.2,-3.051,3.9884,0.42082,0.17116,-0.2,-3.0909,3.9884,0.41911,0.22821,-0.2,-3.1308,3.6816,0.41683,0.27385,-0.2
-2.8762,4.4486,0.42276,-0.022821,-2.9207,4.4486,0.42299,0.022821,-0.2,-2.9651,4.2952,0.42276,0.074169,-0.2,-3.0081,4.2952,0.42202,0.11981,-0.2,-3.051,3.9884,0.42082,0.17116,-0.2,-3.0909,3.9884,0.41911,0.22821,-0.2
-2.8317,4.4486,0.42214,-0.062758,-2.8762,4.4486,0.42276,-0.022821,-0.2,-2.9207,4.4486,0.42299,0.022821,-0.2,-2.9651,4.2952,0.42276,0.074169,-0.2,-3.0081,4.2952,0.42202,0.11981,-0.2,-3.051,3.9884,0.42082,0.17116,-0.2
-2.7857,4.602,0.42111,-0.1027,-2.8317,4.4486,0.42214,-0.062758,-0.2,-2.8762,4.4486,0.42276,-0.022821,-0.2,-2.9207,4.4486,0.42299,0.022821,-0.2,-2.9651,4.2952,0.42276,0.074169,-0.2,-3.0081,4.2952,0.42202,0.11981,-0.2
-2.7396,4.602,0.4198,-0.13122,-2.7857,4.602,0.42111,-0.1027,-0.2,-2.8317,4.4486,0.42214,-0.062758,-0.2,-2.8762,4.4486,0.42276,-0.022821,-0.2,-2.9207,4.4486,0.42299,0.022821,-0.2,-2.9651,4.2952,0.42276,0.074169,-0.2
-2.6952,4.4486,0.41826,-0.15404,-2.7396,4.602,0.4198,-0.13122,-0.2,-2.7857,4.602,0.42111,-0.1027,-0.2,-2.8317,4.4486,0.42214,-0.062758,-0.2,-2.8762,4.4486,0.42276,-0.022821,-0.2,-2.9207,4.4486,0.42299,0.022821,-0.2
-2.6522,4.2952,0.41649,-0.17686,-2.6952,4.4486,0.41826,-0.15404,-0.2,-2.7396,4.602,0.4198,-0.13122,-0.2,-2.7857,4.602,0.42111,-0.1027,-0.2,-2.8317,4.4486,0.42214,-0.062758,-0.2,-2.8762,4.4486,0.42276,-0.022821,-0.2
-2.6093,4.2952,0.41443,-0.20539,-2.6522,4.2952,0.41649,-0.17686,-0.2,-2.6952,4.4486,0.41826,-0.15404,-0.2,-2.7396,4.602,0.4198,-0.13122,-0.2,-2.7857,4.602,0.42111,-0.1027,-0.2,-2.8317,4.4486,0.42214,-0.062758,-0.2
