x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-2.689,0.4602,-0.26798,-1.0897,-2.6936,0.4602,-0.25708,-1.0726,-0.2,-2.6982,0.6136,-0.24635,-1.0441,-0.2,-2.7044,0.767,-0.23591,-1.027,-0.2,-2.712,0.767,-0.22564,-1.0098,-0.2,-2.7197,0.767,-0.21555,-0.98131,-0.2
-2.6844,0.4602,-0.2791,-1.1125,-2.689,0.4602,-0.26798,-1.0897,-0.2,-2.6936,0.4602,-0.25708,-1.0726,-0.2,-2.6982,0.6136,-0.24635,-1.0441,-0.2,-2.7044,0.767,-0.23591,-1.027,-0.2,-2.712,0.767,-0.22564,-1.0098,-0.2
-2.6814,0.3068,-0.29046,-1.1354,-2.6844,0.4602,-0.2791,-1.1125,-0.2,-2.689,0.4602,-0.26798,-1.0897,-0.2,-2.6936,0.4602,-0.25708,-1.0726,-0.2,-2.6982,0.6136,-0.24635,-1.0441,-0.2,-2.7044,0.767,-0.23591,-1.027,-0.2
-2.6798,0.1534,-0.30198,-1.1525,-2.6814,0.3068,-0.29046,-1.1354,-0.2,-2.6844,0.4602,-0.2791,-1.1125,-0.2,-2.689,0.4602,-0.26798,-1.0897,-0.2,-2.6936,0.4602,-0.25708,-1.0726,-0.2,-2.6982,0.6136,-0.24635,-1.0441,-0.2
-2.6783,0.1534,-0.31373,-1.1753,-2.6798,0.1534,-0.30198,-1.1525,-0.2,-2.6814,0.3068,-0.29046,-1.1354,-0.2,-2.6844,0.4602,-0.2791,-1.1125,-0.2,-2.689,0.4602,-0.26798,-1.0897,-0.2,-2.6936,0.4602,-0.25708,-1.0726,-0.2
-2.6768,0.1534,-0.32572,-1.1981,-2.6783,0.1534,-0.31373,-1.1753,-0.2,-2.6798,0.1534,-0.30198,-1.1525,-0.2,-2.6814,0.3068,-0.29046,-1.1354,-0.2,-2.6844,0.4602,-0.2791,-1.1125,-0.2,-2.689,0.4602,-0.26798,-1.0897,-0.2
-2.6768,0,-0.33792,-1.2209,-2.6768,0.1534,-0.32572,-1.1981,-0.2,-2.6783,0.1534,-0.31373,-1.1753,-0.2,-2.6798,0.1534,-0.30198,-1.1525,-0.2,-2.6814,0.3068,-0.29046,-1.1354,-0.2,-2.6844,0.4602,-0.2791,-1.1125,-0.2
-2.6783,-0.1534,-0.35031,-1.2381,-2.6768,0,-0.33792,-1.2209,-0.2,-2.6768,0.1534,-0.32572,-1.1981,-0.2,-2.6783,0.1534,-0.31373,-1.1753,-0.2,-2.6798,0.1534,-0.30198,-1.1525,-0.2,-2.6814,0.3068,-0.29046,-1.1354,-0.2
-2.6814,-0.3068,-0.36257,-1.2266,-2.6783,-0.1534,-0.35031,-1.2381,0.2,-2.6768,0,-0.33792,-1.2209,-0.2,-2.6768,0.1534,-0.32572,-1.1981,-0.2,-2.6783,0.1534,-0.31373,-1.1753,-0.2,-2.6798,0.1534,-0.30198,-1.1525,-0.2
-2.6875,-0.6136,-0.37421,-1.1639,-2.6814,-0.3068,-0.36257,-1.2266,0.2,-2.6783,-0.1534,-0.35031,-1.2381,0.2,-2.6768,0,-0.33792,-1.2209,-0.2,-2.6768,0.1534,-0.32572,-1.1981,-0.2,-2.6783,0.1534,-0.31373,-1.1753,-0.2
