x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
3.0312,2.7612,0.37159,0.45072,3.0036,2.6078,0.36708,0.50207,-0.2,2.9775,2.1476,0.36206,0.56482,-0.2,2.956,2.1476,0.35641,0.61617,-0.2
3.0603,2.9146,0.37552,0.39367,3.0312,2.7612,0.37159,0.45072,-0.2,3.0036,2.6078,0.36708,0.50207,-0.2,2.9775,2.1476,0.36206,0.56482,-0.2
3.0925,3.2214,0.37889,0.33661,3.0603,2.9146,0.37552,0.39367,-0.2,3.0312,2.7612,0.37159,0.45072,-0.2,3.0036,2.6078,0.36708,0.50207,-0.2
3.1263,3.3748,0.38174,0.28527,3.0925,3.2214,0.37889,0.33661,-0.2,3.0603,2.9146,0.37552,0.39367,-0.2,3.0312,2.7612,0.37159,0.45072,-0.2
-3.1216,3.5282,0.38402,0.22821,3.1263,3.3748,0.38174,0.28527,-0.2,3.0925,3.2214,0.37889,0.33661,-0.2,3.0603,2.9146,0.37552,0.39367,-0.2
-3.0848,3.6816,0.38579,0.17686,-3.1216,3.5282,0.38402,0.22821,-0.2,3.1263,3.3748,0.38174,0.28527,-0.2,3.0925,3.2214,0.37889,0.33661,-0.2
-3.0464,3.835,0.38705,0.12552,-3.0848,3.6816,0.38579,0.17686,-0.2,-3.1216,3.5282,0.38402,0.22821,-0.2,3.1263,3.3748,0.38174,0.28527,-0.2
-3.0066,3.9884,0.38779,0.074169,-3.0464,3.835,0.38705,0.12552,-0.2,-3.0848,3.6816,0.38579,0.17686,-0.2,-3.1216,3.5282,0.38402,0.22821,-0.2
-2.9651,4.1418,0.38807,0.028526,-3.0066,3.9884,0.38779,0.074169,-0.2,-3.0464,3.835,0.38705,0.12552,-0.2,-3.0848,3.6816,0.38579,0.17686,-0.2
-2.9237,4.1418,0.3879,-0.017116,-2.9651,4.1418,0.38807,0.028526,-0.2,-3.0066,3.9884,0.38779,0.074169,-0.2,-3.0464,3.835,0.38705,0.12552,-0.2
-2.8808,4.2952,0.38722,-0.068464,-2.9237,4.1418,0.3879,-0.017116,-0.2,-2.9651,4.1418,0.38807,0.028526,-0.2,-3.0066,3.9884,0.38779,0.074169,-0.2
-2.8378,4.2952,0.38625,-0.09699,-2.8808,4.2952,0.38722,-0.068464,-0.2,-2.9237,4.1418,0.3879,-0.017116,-0.2,-2.9651,4.1418,0.38807,0.028526,-0.2
-2.7949,4.2952,0.38494,-0.13122,-2.8378,4.2952,0.38625,-0.09699,-0.2,-2.8808,4.2952,0.38722,-0.068464,-0.2,-2.9237,4.1418,0.3879,-0.017116,-0.2
-2.7535,4.1418,0.3834,-0.15404,-2.7949,4.2952,0.38494,-0.13122,-0.2,-2.8378,4.2952,0.38625,-0.09699,-0.2,-2.8808,4.2952,0.38722,-0.068464,-0.2
-2.7105,4.2952,0.38157,-0.18257,-2.7535,4.1418,0.3834,-0.15404,-0.2,-2.7949,4.2952,0.38494,-0.13122,-0.2,-2.8378,4.2952,0.38625,-0.09699,-0.2
-2.6691,4.1418,0.37952,-0.20539,-2.7105,4.2952,0.38157,-0.18257,-0.2,-2.7535,4.1418,0.3834,-0.15404,-0.2,-2.7949,4.2952,0.38494,-0.13122,-0.2
-2.6292,3.9884,0.37723,-0.22821,-2.6691,4.1418,0.37952,-0.20539,-0.2,-2.7105,4.2952,0.38157,-0.18257,-0.2,-2.7535,4.1418,0.3834,-0.15404,-0.2
-2.5893,3.9884,0.37472,-0.25103,-2.6292,3.9884,0.37723,-0.22821,-0.2,-2.6691,4.1418,0.37952,-0.20539,-0.2,-2.7105,4.2952,0.38157,-0.18257,-0.2
-2.551,3.835,0.37199,-0.27385,-2.5893,3.9884,0.37472,-0.25103,-0.2,-2.6292,3.9884,0.37723,-0.22821,-0.2,-2.6691,4.1418,0.37952,-0.20539,-0.2
-2.5141,3.6816,0.36902,-0.29668,-2.551,3.835,0.37199,-0.27385,-0.2,-2.5893,3.9884,0.37472,-0.25103,-0.2,-2.6292,3.9884,0.37723,-0.22821,-0.2
-2.4773,3.6816,0.36582,-0.3195,-2.5141,3.6816,0.36902,-0.29668,-0.2,-2.551,3.835,0.37199,-0.27385,-0.2,-2.5893,3.9884,0.37472,-0.25103,-0.2
-2.4436,3.3748,0.3624,-0.34232,-2.4773,3.6816,0.36582,-0.3195,-0.2,-2.5141,3.6816,0.36902,-0.29668,-0.2,-2.551,3.835,0.37199,-0.27385,-0.2
-2.4098,3.3748,0.35881,-0.35943,-2.4436,3.3748,0.3624,-0.34232,-0.2,-2.4773,3.6816,0.36582,-0.3195,-0.2,-2.5141,3.6816,0.36902,-0.29668,-0.2
-2.3792,3.068,0.35498,-0.38226,-2.4098,3.3748,0.35881,-0.35943,-0.2,-2.4436,3.3748,0.3624,-0.34232,-0.2,-2.4773,3.6816,0.36582,-0.3195,-0.2
-2.35,2.9146,0.35099,-0.39937,-2.3792,3.068,0.35498,-0.38226,-0.2,-2.4098,3.3748,0.35881,-0.35943,-0.2,-2.4436,3.3748,0.3624,-0.34232,-0.2
-2.3224,2.7612,0.34683,-0.41649,-2.35,2.9146,0.35099,-0.39937,-0.2,-2.3792,3.068,0.35498,-0.38226,-0.2,-2.4098,3.3748,0.35881,-0.35943,-0.2
-2.2963,2.6078,0.34243,-0.43931,-2.3224,2.7612,0.34683,-0.41649,-0.15293,-2.35,2.9146,0.35099,-0.39937,-0.2,-2.3792,3.068,0.35498,-0.38226,-0.2
-2.2733,2.301,0.33815,-0.4279,-2.2963,2.6078,0.34243,-0.43931,0.017815,-2.3224,2.7612,0.34683,-0.41649,-0.15293,-2.35,2.9146,0.35099,-0.39937,-0.2
-2.2534,1.9942,0.3341,-0.40508,-2.2733,2.301,0.33815,-0.4279,0.017815,-2.2963,2.6078,0.34243,-0.43931,0.017815,-2.3224,2.7612,0.34683,-0.41649,-0.15293
-2.2365,1.6874,0.33022,-0.38796,-2.2534,1.9942,0.3341,-0.40508,0.017815,-2.2733,2.301,0.33815,-0.4279,0.017815,-2.2963,2.6078,0.34243,-0.43931,0.017815
-2.2227,1.3806,0.32663,-0.35943,-2.2365,1.6874,0.33022,-0.38796,0.017815,-2.2534,1.9942,0.3341,-0.40508,0.017815,-2.2733,2.301,0.33815,-0.4279,0.017815
-2.2104,1.2272,0.32321,-0.34232,-2.2227,1.3806,0.32663,-0.35943,0.017815,-2.2365,1.6874,0.33022,-0.38796,0.017815,-2.2534,1.9942,0.3341,-0.40508,0.017815
-2.2027,0.767,0.31995,-0.3252,-2.2104,1.2272,0.32321,-0.34232,0.017815,-2.2227,1.3806,0.32663,-0.35943,0.017815,-2.2365,1.6874,0.33022,-0.38796,0.017815
-2.1981,0.4602,0.31693,-0.30238,-2.2027,0.767,0.31995,-0.3252,0.017815,-2.2104,1.2272,0.32321,-0.34232,0.017815,-2.2227,1.3806,0.32663,-0.35943,0.017815
-2.1951,0.3068,0.31413,-0.27956,-2.1981,0.4602,0.31693,-0.30238,0.017815,-2.2027,0.767,0.31995,-0.3252,0.017815,-2.2104,1.2272,0.32321,-0.34232,0.017815
-2.1966,-0.1534,0.31151,-0.26244,-2.1951,0.3068,0.31413,-0.27956,0.017815,-2.1981,0.4602,0.31693,-0.30238,0.017815,-2.2027,0.767,0.31995,-0.3252,0.017815
-2.1997,-0.3068,0.30906,-0.24533,-2.1966,-0.1534,0.31151,-0.26244,0.017815,-2.1951,0.3068,0.31413,-0.27956,0.017815,-2.1981,0.4602,0.31693,-0.30238,0.017815
