x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
-2.9759,4.9088,0.4655,0.1027,-3.025,4.602,0.46447,0.15404,-0.2,-3.071,4.4486,0.46293,0.19969,-0.2,-3.1155,4.4486,0.46093,0.25674,-0.2
-2.9268,4.9088,0.46607,0.057053,-2.9759,4.9088,0.4655,0.1027,-0.2,-3.025,4.602,0.46447,0.15404,-0.2,-3.071,4.4486,0.46293,0.19969,-0.2
-2.8777,4.9088,0.46612,0.0057053,-2.9268,4.9088,0.46607,0.057053,-0.2,-2.9759,4.9088,0.4655,0.1027,-0.2,-3.025,4.602,0.46447,0.15404,-0.2
-2.8271,5.0622,0.46578,-0.034232,-2.8777,4.9088,0.46612,0.0057053,-0.2,-2.9268,4.9088,0.46607,0.057053,-0.2,-2.9759,4.9088,0.4655,0.1027,-0.2
-2.778,4.9088,0.46504,-0.074169,-2.8271,5.0622,0.46578,-0.034232,-0.2,-2.8777,4.9088,0.46612,0.0057053,-0.2,-2.9268,4.9088,0.46607,0.057053,-0.2
-2.7274,5.0622,0.46401,-0.1027,-2.778,4.9088,0.46504,-0.074169,-0.2,-2.8271,5.0622,0.46578,-0.034232,-0.2,-2.8777,4.9088,0.46612,0.0057053,-0.2
-2.6783,4.9088,0.46276,-0.12552,-2.7274,5.0622,0.46401,-0.1027,-0.2,-2.778,4.9088,0.46504,-0.074169,-0.2,-2.8271,5.0622,0.46578,-0.034232,-0.2
-2.6292,4.9088,0.46127,-0.14834,-2.6783,4.9088,0.46276,-0.12552,-0.2,-2.7274,5.0622,0.46401,-0.1027,-0.2,-2.778,4.9088,0.46504,-0.074169,-0.2
-2.5816,4.7554,0.4595,-0.17686,-2.6292,4.9088,0.46127,-0.14834,-0.2,-2.6783,4.9088,0.46276,-0.12552,-0.2,-2.7274,5.0622,0.46401,-0.1027,-0.2
-2.5356,4.602,0.45751,-0.19969,-2.5816,4.7554,0.4595,-0.17686,-0.2,-2.6292,4.9088,0.46127,-0.14834,-0.2,-2.6783,4.9088,0.46276,-0.12552,-0.2
-2.4896,4.602,0.45534,-0.2168,-2.5356,4.602,0.45751,-0.19969,-0.2,-2.5816,4.7554,0.4595,-0.17686,-0.2,-2.6292,4.9088,0.46127,-0.14834,-0.2
-2.4451,4.4486,0.45289,-0.24533,-2.4896,4.602,0.45534,-0.2168,-0.2,-2.5356,4.602,0.45751,-0.19969,-0.2,-2.5816,4.7554,0.4595,-0.17686,-0.2
-2.4037,4.1418,0.45026,-0.26244,-2.4451,4.4486,0.45289,-0.24533,-0.2,-2.4896,4.602,0.45534,-0.2168,-0.2,-2.5356,4.602,0.45751,-0.19969,-0.2
-2.3623,4.1418,0.44741,-0.28526,-2.4037,4.1418,0.45026,-0.26244,-0.2,-2.4451,4.4486,0.45289,-0.24533,-0.2,-2.4896,4.602,0.45534,-0.2168,-0.2
-2.3239,3.835,0.44439,-0.30238,-2.3623,4.1418,0.44741,-0.28526,-0.2,-2.4037,4.1418,0.45026,-0.26244,-0.2,-2.4451,4.4486,0.45289,-0.24533,-0.2
-2.2871,3.6816,0.44113,-0.3252,-2.3239,3.835,0.44439,-0.30238,-0.2,-2.3623,4.1418,0.44741,-0.28526,-0.2,-2.4037,4.1418,0.45026,-0.26244,-0.2
-2.2518,3.5282,0.43765,-0.34802,-2.2871,3.6816,0.44113,-0.3252,-0.2,-2.3239,3.835,0.44439,-0.30238,-0.2,-2.3623,4.1418,0.44741,-0.28526,-0.2
-2.2181,3.3748,0.434,-0.36514,-2.2518,3.5282,0.43765,-0.34802,-0.2,-2.2871,3.6816,0.44113,-0.3252,-0.2,-2.3239,3.835,0.44439,-0.30238,-0.2
-2.1874,3.068,0.43012,-0.38796,-2.2181,3.3748,0.434,-0.36514,-0.2,-2.2518,3.5282,0.43765,-0.34802,-0.2,-2.2871,3.6816,0.44113,-0.3252,-0.2
-2.1598,2.7612,0.42607,-0.40508,-2.1874,3.068,0.43012,-0.38796,-0.2,-2.2181,3.3748,0.434,-0.36514,-0.2,-2.2518,3.5282,0.43765,-0.34802,-0.2
-2.1337,2.6078,0.42185,-0.42219,-2.1598,2.7612,0.42607,-0.40508,-0.2,-2.1874,3.068,0.43012,-0.38796,-0.2,-2.2181,3.3748,0.434,-0.36514,-0.2
-2.1092,2.4544,0.4174,-0.44501,-2.1337,2.6078,0.42185,-0.42219,-0.2,-2.1598,2.7612,0.42607,-0.40508,-0.2,-2.1874,3.068,0.43012,-0.38796,-0.2
-2.0892,1.9942,0.41278,-0.46213,-2.1092,2.4544,0.4174,-0.44501,-0.2,-2.1337,2.6078,0.42185,-0.42219,-0.2,-2.1598,2.7612,0.42607,-0.40508,-0.2
-2.0693,1.9942,0.40793,-0.48495,-2.0892,1.9942,0.41278,-0.46213,-0.2,-2.1092,2.4544,0.4174,-0.44501,-0.2,-2.1337,2.6078,0.42185,-0.42219,-0.2
-2.0539,1.534,0.40291,-0.50207,-2.0693,1.9942,0.40793,-0.48495,-0.2,-2.0892,1.9942,0.41278,-0.46213,-0.2,-2.1092,2.4544,0.4174,-0.44501,-0.2
-2.0401,1.3806,0.39766,-0.52489,-2.0539,1.534,0.40291,-0.50207,-0.2,-2.0693,1.9942,0.40793,-0.48495,-0.2,-2.0892,1.9942,0.41278,-0.46213,-0.2
-2.0294,1.0738,0.39224,-0.542,-2.0401,1.3806,0.39766,-0.52489,-0.2,-2.0539,1.534,0.40291,-0.50207,-0.2,-2.0693,1.9942,0.40793,-0.48495,-0.2
-2.0202,0.9204,0.38659,-0.56482,-2.0294,1.0738,0.39224,-0.542,-0.2,-2.0401,1.3806,0.39766,-0.52489,-0.2,-2.0539,1.534,0.40291,-0.50207,-0.2
-2.0141,0.6136,0.38077,-0.58194,-2.0202,0.9204,0.38659,-0.56482,-0.2,-2.0294,1.0738,0.39224,-0.542,-0.2,-2.0401,1.3806,0.39766,-0.52489,-0.2
