x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
2.801,-0.1533981,-0.27368,-0.86847,2.8026,-0.3067962,-0.265,-0.90416,0.42052,2.8057,-0.3067962,-0.25596,-0.86847,0.41478,2.8087,-0.4601942,-0.24727,-0.80898,0.40898,2.8133,-0.4601942,-0.23918,-0.91605,0.40311,2.8179,-0.4601942,-0.23002,-0.79114,0.39717
2.7995,-0.1533981,-0.28278,-0.91011,2.801,-0.1533981,-0.27368,-0.86847,0.42618,2.8026,-0.3067962,-0.265,-0.90416,0.42052,2.8057,-0.3067962,-0.25596,-0.86847,0.41478,2.8087,-0.4601942,-0.24727,-0.80898,0.40898,2.8133,-0.4601942,-0.23918,-0.91605,0.40311
2.798,-0.1533981,-0.29189,-0.91011,2.7995,-0.1533981,-0.28278,-0.91011,0.43178,2.801,-0.1533981,-0.27368,-0.86847,0.42618,2.8026,-0.3067962,-0.265,-0.90416,0.42052,2.8057,-0.3067962,-0.25596,-0.86847,0.41478,2.8087,-0.4601942,-0.24727,-0.80898,0.40898
2.798,0,-0.30122,-0.9339,2.798,-0.1533981,-0.29189,-0.91011,0.4373,2.7995,-0.1533981,-0.28278,-0.91011,0.43178,2.801,-0.1533981,-0.27368,-0.86847,0.42618,2.8026,-0.3067962,-0.265,-0.90416,0.42052,2.8057,-0.3067962,-0.25596,-0.86847,0.41478
2.798,0,-0.31062,-0.93985,2.798,0,-0.30122,-0.9339,0.44275,2.798,-0.1533981,-0.29189,-0.91011,0.4373,2.7995,-0.1533981,-0.28278,-0.91011,0.43178,2.801,-0.1533981,-0.27368,-0.86847,0.42618,2.8026,-0.3067962,-0.265,-0.90416,0.42052
2.7995,0.1533981,-0.32008,-0.9458,2.798,0,-0.31062,-0.93985,0.44813,2.798,0,-0.30122,-0.9339,0.44275,2.798,-0.1533981,-0.29189,-0.91011,0.4373,2.7995,-0.1533981,-0.28278,-0.91011,0.43178,2.801,-0.1533981,-0.27368,-0.86847,0.42618
2.801,0.1533981,-0.32972,-0.96364,2.7995,0.1533981,-0.32008,-0.9458,0.45343,2.798,0,-0.31062,-0.93985,0.44813,2.798,0,-0.30122,-0.9339,0.44275,2.798,-0.1533981,-0.29189,-0.91011,0.4373,2.7995,-0.1533981,-0.28278,-0.91011,0.43178
2.8041,0.3067962,-0.33941,-0.96959,2.801,0.1533981,-0.32972,-0.96364,0.45866,2.7995,0.1533981,-0.32008,-0.9458,0.45343,2.798,0,-0.31062,-0.93985,0.44813,2.798,0,-0.30122,-0.9339,0.44275,2.798,-0.1533981,-0.29189,-0.91011,0.4373
2.8072,0.3067962,-0.34958,-1.0172,2.8041,0.3067962,-0.33941,-0.96959,0.4638,2.801,0.1533981,-0.32972,-0.96364,0.45866,2.7995,0.1533981,-0.32008,-0.9458,0.45343,2.798,0,-0.31062,-0.93985,0.44813,2.798,0,-0.30122,-0.9339,0.44275
2.8103,0.3067962,-0.35946,-0.98743,2.8072,0.3067962,-0.34958,-1.0172,0.46887,2.8041,0.3067962,-0.33941,-0.96959,0.4638,2.801,0.1533981,-0.32972,-0.96364,0.45866,2.7995,0.1533981,-0.32008,-0.9458,0.45343,2.798,0,-0.31062,-0.93985,0.44813
2.8133,0.3067962,-0.36898,-0.95174,2.8103,0.3067962,-0.35946,-0.98743,0.47386,2.8072,0.3067962,-0.34958,-1.0172,0.46887,2.8041,0.3067962,-0.33941,-0.96959,0.4638,2.801,0.1533981,-0.32972,-0.96364,0.45866,2.7995,0.1533981,-0.32008,-0.9458,0.45343
2.8195,0.6135923,-0.37897,-0.99933,2.8133,0.3067962,-0.36898,-0.95174,0.47877,2.8103,0.3067962,-0.35946,-0.98743,0.47386,2.8072,0.3067962,-0.34958,-1.0172,0.46887,2.8041,0.3067962,-0.33941,-0.96959,0.4638,2.801,0.1533981,-0.32972,-0.96364,0.45866
2.8241,0.4601942,-0.38896,-0.99933,2.8195,0.6135923,-0.37897,-0.99933,0.4836,2.8133,0.3067962,-0.36898,-0.95174,0.47877,2.8103,0.3067962,-0.35946,-0.98743,0.47386,2.8072,0.3067962,-0.34958,-1.0172,0.46887,2.8041,0.3067962,-0.33941,-0.96959,0.4638
2.8302,0.6135923,-0.39913,-1.0172,2.8241,0.4601942,-0.38896,-0.99933,0.48834,2.8195,0.6135923,-0.37897,-0.99933,0.4836,2.8133,0.3067962,-0.36898,-0.95174,0.47877,2.8103,0.3067962,-0.35946,-0.98743,0.47386,2.8072,0.3067962,-0.34958,-1.0172,0.46887
