x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-1.4603,5.675729,0.48051,0.1844,-1.5171,5.368933,0.47867,0.1725,-0.07403,-1.5708,5.982525,0.47695,0.1963,-0.07403,-1.6306,5.522331,0.47498,0.16656,-0.07403,-1.6858,6.749515,0.47332,0.20225,-0.07403,-1.7533,6.596117,0.47129,0.1963,-0.07403
-1.4113,4.908739,0.4823,0.17845,-1.4603,5.675729,0.48051,0.1844,-0.07403,-1.5171,5.368933,0.47867,0.1725,-0.07403,-1.5708,5.982525,0.47695,0.1963,-0.07403,-1.6306,5.522331,0.47498,0.16656,-0.07403,-1.6858,6.749515,0.47332,0.20225,-0.07403
-1.3652,4.601942,0.48402,0.1725,-1.4113,4.908739,0.4823,0.17845,-0.07403,-1.4603,5.675729,0.48051,0.1844,-0.07403,-1.5171,5.368933,0.47867,0.1725,-0.07403,-1.5708,5.982525,0.47695,0.1963,-0.07403,-1.6306,5.522331,0.47498,0.16656,-0.07403
-1.3223,4.295146,0.48581,0.17845,-1.3652,4.601942,0.48402,0.1725,-0.07403,-1.4113,4.908739,0.4823,0.17845,-0.07403,-1.4603,5.675729,0.48051,0.1844,-0.07403,-1.5171,5.368933,0.47867,0.1725,-0.07403,-1.5708,5.982525,0.47695,0.1963,-0.07403
-1.2793,4.295146,0.48759,0.17845,-1.3223,4.295146,0.48581,0.17845,-0.07403,-1.3652,4.601942,0.48402,0.1725,-0.07403,-1.4113,4.908739,0.4823,0.17845,-0.07403,-1.4603,5.675729,0.48051,0.1844,-0.07403,-1.5171,5.368933,0.47867,0.1725,-0.07403
-1.241,3.834952,0.48944,0.1844,-1.2793,4.295146,0.48759,0.17845,-0.07403,-1.3223,4.295146,0.48581,0.17845,-0.07403,-1.3652,4.601942,0.48402,0.1725,-0.07403,-1.4113,4.908739,0.4823,0.17845,-0.07403,-1.4603,5.675729,0.48051,0.1844,-0.07403
-1.2057,3.528156,0.49116,0.1725,-1.241,3.834952,0.48944,0.1844,-0.07403,-1.2793,4.295146,0.48759,0.17845,-0.07403,-1.3223,4.295146,0.48581,0.17845,-0.07403,-1.3652,4.601942,0.48402,0.1725,-0.07403,-1.4113,4.908739,0.4823,0.17845,-0.07403
-1.172,3.374758,0.49307,0.19035,-1.2057,3.528156,0.49116,0.1725,-0.07403,-1.241,3.834952,0.48944,0.1844,-0.07403,-1.2793,4.295146,0.48759,0.17845,-0.07403,-1.3223,4.295146,0.48581,0.17845,-0.07403,-1.3652,4.601942,0.48402,0.1725,-0.07403
-1.1382,3.374758,0.49503,0.1963,-1.172,3.374758,0.49307,0.19035,-0.07403,-1.2057,3.528156,0.49116,0.1725,-0.07403,-1.241,3.834952,0.48944,0.1844,-0.07403,-1.2793,4.295146,0.48759,0.17845,-0.07403,-1.3223,4.295146,0.48581,0.17845,-0.07403
-1.1121,2.607767,0.49687,0.1844,-1.1382,3.374758,0.49503,0.1963,-0.07403,-1.172,3.374758,0.49307,0.19035,-0.07403,-1.2057,3.528156,0.49116,0.1725,-0.07403,-1.241,3.834952,0.48944,0.1844,-0.07403,-1.2793,4.295146,0.48759,0.17845,-0.07403
-1.0861,2.607767,0.49872,0.1844,-1.1121,2.607767,0.49687,0.1844,-0.07403,-1.1382,3.374758,0.49503,0.1963,-0.07403,-1.172,3.374758,0.49307,0.19035,-0.07403,-1.2057,3.528156,0.49116,0.1725,-0.07403,-1.241,3.834952,0.48944,0.1844,-0.07403
-1.0615,2.454369,0.5008,0.20819,-1.0861,2.607767,0.49872,0.1844,-0.17869,-1.1121,2.607767,0.49687,0.1844,-0.07403,-1.1382,3.374758,0.49503,0.1963,-0.07403,-1.172,3.374758,0.49307,0.19035,-0.07403,-1.2057,3.528156,0.49116,0.1725,-0.07403
-1.0416,1.994175,0.50276,0.1963,-1.0615,2.454369,0.5008,0.20819,1,-1.0861,2.607767,0.49872,0.1844,-0.17869,-1.1121,2.607767,0.49687,0.1844,-0.07403,-1.1382,3.374758,0.49503,0.1963,-0.07403,-1.172,3.374758,0.49307,0.19035,-0.07403
-1.0216,1.994175,0.50461,0.1844,-1.0416,1.994175,0.50276,0.1963,1,-1.0615,2.454369,0.5008,0.20819,1,-1.0861,2.607767,0.49872,0.1844,-0.17869,-1.1121,2.607767,0.49687,0.1844,-0.07403,-1.1382,3.374758,0.49503,0.1963,-0.07403
-1.0032,1.840777,0.50609,0.14871,-1.0216,1.994175,0.50461,0.1844,1,-1.0416,1.994175,0.50276,0.1963,1,-1.0615,2.454369,0.5008,0.20819,1,-1.0861,2.607767,0.49872,0.1844,-0.17869,-1.1121,2.607767,0.49687,0.1844,-0.07403
-0.98942,1.380583,0.50687,0.077329,-1.0032,1.840777,0.50609,0.14871,1,-1.0216,1.994175,0.50461,0.1844,1,-1.0416,1.994175,0.50276,0.1963,1,-1.0615,2.454369,0.5008,0.20819,1,-1.0861,2.607767,0.49872,0.1844,-0.17869
-0.97561,1.380583,0.50728,0.041639,-0.98942,1.380583,0.50687,0.077329,1,-1.0032,1.840777,0.50609,0.14871,1,-1.0216,1.994175,0.50461,0.1844,1,-1.0416,1.994175,0.50276,0.1963,1,-1.0615,2.454369,0.5008,0.20819,1
-0.96334,1.227185,0.50734,0.0059484,-0.97561,1.380583,0.50728,0.041639,1,-0.98942,1.380583,0.50687,0.077329,1,-1.0032,1.840777,0.50609,0.14871,1,-1.0216,1.994175,0.50461,0.1844,1,-1.0416,1.994175,0.50276,0.1963,1
-0.9526,1.073787,0.50693,-0.041639,-0.96334,1.227185,0.50734,0.0059484,1,-0.97561,1.380583,0.50728,0.041639,1,-0.98942,1.380583,0.50687,0.077329,1,-1.0032,1.840777,0.50609,0.14871,1,-1.0216,1.994175,0.50461,0.1844,1
