x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
0.099709,-5.6757289,-0.51656,0.41044,0.15647,-5.829127,-0.52066,0.3807,-1,0.21476,-5.3689328,-0.52447,0.32716,-1,0.26845,-6.1359232,-0.52774,0.34501,-1
0.039884,-5.9825251,-0.51221,0.43423,0.099709,-5.6757289,-0.51656,0.41044,-1,0.15647,-5.829127,-0.52066,0.3807,-1,0.21476,-5.3689328,-0.52447,0.32716,-1
-0.026078,-6.5961174,-0.5071,0.51156,0.039884,-5.9825251,-0.51221,0.43423,-1,0.099709,-5.6757289,-0.51656,0.41044,-1,0.15647,-5.829127,-0.52066,0.3807,-1
-0.084369,-5.829127,-0.5024,0.46992,-0.026078,-6.5961174,-0.5071,0.51156,-1,0.039884,-5.9825251,-0.51221,0.43423,-1,0.099709,-5.6757289,-0.51656,0.41044,-1
-0.13959,-5.5223308,-0.4977,0.46992,-0.084369,-5.829127,-0.5024,0.46992,-1,-0.026078,-6.5961174,-0.5071,0.51156,-1,0.039884,-5.9825251,-0.51221,0.43423,-1
-0.20555,-6.5961174,-0.49205,0.5651,-0.13959,-5.5223308,-0.4977,0.46992,0.0071485,-0.084369,-5.829127,-0.5024,0.46992,-1,-0.026078,-6.5961174,-0.5071,0.51156,-1
-0.26384,-5.829127,-0.48705,0.49967,-0.20555,-6.5961174,-0.49205,0.5651,0.0071485,-0.13959,-5.5223308,-0.4977,0.46992,0.0071485,-0.084369,-5.829127,-0.5024,0.46992,-1
-0.3252,-6.1359232,-0.48194,0.51156,-0.26384,-5.829127,-0.48705,0.49967,0.0071485,-0.20555,-6.5961174,-0.49205,0.5651,0.0071485,-0.13959,-5.5223308,-0.4977,0.46992,0.0071485
-0.38963,-6.4427193,-0.47694,0.49967,-0.3252,-6.1359232,-0.48194,0.51156,0.0071485,-0.26384,-5.829127,-0.48705,0.49967,0.0071485,-0.20555,-6.5961174,-0.49205,0.5651,0.0071485
-0.45252,-6.2893212,-0.47218,0.47587,-0.38963,-6.4427193,-0.47694,0.49967,0.0071485,-0.3252,-6.1359232,-0.48194,0.51156,0.0071485,-0.26384,-5.829127,-0.48705,0.49967,0.0071485
-0.51542,-6.2893212,-0.46772,0.44613,-0.45252,-6.2893212,-0.47218,0.47587,0.0071485,-0.38963,-6.4427193,-0.47694,0.49967,0.0071485,-0.3252,-6.1359232,-0.48194,0.51156,0.0071485
-0.58445,-6.9029135,-0.46308,0.46398,-0.51542,-6.2893212,-0.46772,0.44613,0.0071485,-0.45252,-6.2893212,-0.47218,0.47587,0.0071485,-0.38963,-6.4427193,-0.47694,0.49967,0.0071485
-0.64581,-6.1359232,-0.45921,0.38665,-0.58445,-6.9029135,-0.46308,0.46398,0.0071485,-0.51542,-6.2893212,-0.46772,0.44613,0.0071485,-0.45252,-6.2893212,-0.47218,0.47587,0.0071485
-0.7133,-6.7495155,-0.45517,0.40449,-0.64581,-6.1359232,-0.45921,0.38665,0.0071485,-0.58445,-6.9029135,-0.46308,0.46398,0.0071485,-0.51542,-6.2893212,-0.46772,0.44613,0.0071485
-0.7808,-6.7495155,-0.45148,0.3688,-0.7133,-6.7495155,-0.45517,0.40449,0.0071485,-0.64581,-6.1359232,-0.45921,0.38665,0.0071485,-0.58445,-6.9029135,-0.46308,0.46398,0.0071485
-0.85596,-7.5165059,-0.44773,0.37475,-0.7808,-6.7495155,-0.45148,0.3688,0.0071485,-0.7133,-6.7495155,-0.45517,0.40449,0.0071485,-0.64581,-6.1359232,-0.45921,0.38665,0.0071485
-0.92346,-6.7495155,-0.44458,0.31527,-0.85596,-7.5165059,-0.44773,0.37475,0.0071485,-0.7808,-6.7495155,-0.45148,0.3688,0.0071485,-0.7133,-6.7495155,-0.45517,0.40449,0.0071485
-0.99555,-7.2097097,-0.44143,0.31527,-0.92346,-6.7495155,-0.44458,0.31527,0.0071485,-0.85596,-7.5165059,-0.44773,0.37475,0.0071485,-0.7808,-6.7495155,-0.45148,0.3688,0.0071485
-1.0707,-7.5165059,-0.43857,0.28552,-0.99555,-7.2097097,-0.44143,0.31527,0.0071485,-0.92346,-6.7495155,-0.44458,0.31527,0.0071485,-0.85596,-7.5165059,-0.44773,0.37475,0.0071485
-1.1505,-7.9767001,-0.43578,0.27957,-1.0707,-7.5165059,-0.43857,0.28552,0.0071485,-0.99555,-7.2097097,-0.44143,0.31527,0.0071485,-0.92346,-6.7495155,-0.44458,0.31527,0.0071485
-1.2287,-7.823302,-0.43334,0.24388,-1.1505,-7.9767001,-0.43578,0.27957,0.0071485,-1.0707,-7.5165059,-0.43857,0.28552,0.0071485,-0.99555,-7.2097097,-0.44143,0.31527,0.0071485
-1.31,-8.1300982,-0.43114,0.22009,-1.2287,-7.823302,-0.43334,0.24388,0.0071485,-1.1505,-7.9767001,-0.43578,0.27957,0.0071485,-1.0707,-7.5165059,-0.43857,0.28552,0.0071485
-1.399,-8.8970886,-0.429,0.21414,-1.31,-8.1300982,-0.43114,0.22009,0.0071485,-1.2287,-7.823302,-0.43334,0.24388,0.0071485,-1.1505,-7.9767001,-0.43578,0.27957,0.0071485
