x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-2.7949,-0.153398,-0.66324,0.92795,-2.7934,-0.306796,-0.67252,0.838724,-0.82,-2.7903,0,-0.68091,0.981486,-0.82,-2.7903,-0.153398,-0.69073,0.89226,-0.82,-2.7888,0.153398,-0.69965,0.886312,-0.82,-2.7903,0,-0.70851,0.868466,-0.82
-2.7995,-0.460194,-0.65396,0.92795,-2.7949,-0.153398,-0.66324,0.92795,-0.82,-2.7934,-0.306796,-0.67252,0.838724,-0.82,-2.7903,0,-0.68091,0.981486,-0.82,-2.7903,-0.153398,-0.69073,0.89226,-0.82,-2.7888,0.153398,-0.69965,0.886312,-0.82
-2.8026,-0.306796,-0.64451,0.945796,-2.7995,-0.460194,-0.65396,0.92795,-0.82,-2.7949,-0.153398,-0.66324,0.92795,-0.82,-2.7934,-0.306796,-0.67252,0.838724,-0.82,-2.7903,0,-0.68091,0.981486,-0.82,-2.7903,-0.153398,-0.69073,0.89226,-0.82
-2.8072,-0.460194,-0.63505,0.945796,-2.8026,-0.306796,-0.64451,0.945796,-0.82,-2.7995,-0.460194,-0.65396,0.92795,-0.82,-2.7949,-0.153398,-0.66324,0.92795,-0.82,-2.7934,-0.306796,-0.67252,0.838724,-0.82,-2.7903,0,-0.68091,0.981486,-0.82
-2.8118,-0.460194,-0.62547,0.957692,-2.8072,-0.460194,-0.63505,0.945796,-0.82,-2.8026,-0.306796,-0.64451,0.945796,-0.82,-2.7995,-0.460194,-0.65396,0.92795,-0.82,-2.7949,-0.153398,-0.66324,0.92795,-0.82,-2.7934,-0.306796,-0.67252,0.838724,-0.82
-2.8179,-0.613592,-0.61584,0.963641,-2.8118,-0.460194,-0.62547,0.957692,-0.82,-2.8072,-0.460194,-0.63505,0.945796,-0.82,-2.8026,-0.306796,-0.64451,0.945796,-0.82,-2.7995,-0.460194,-0.65396,0.92795,-0.82,-2.7949,-0.153398,-0.66324,0.92795,-0.82
-2.8241,-0.613592,-0.60566,1.01718,-2.8179,-0.613592,-0.61584,0.963641,-0.82,-2.8118,-0.460194,-0.62547,0.957692,-0.82,-2.8072,-0.460194,-0.63505,0.945796,-0.82,-2.8026,-0.306796,-0.64451,0.945796,-0.82,-2.7995,-0.460194,-0.65396,0.92795,-0.82
-2.8317,-0.76699,-0.59609,0.957692,-2.8241,-0.613592,-0.60566,1.01718,-0.82,-2.8179,-0.613592,-0.61584,0.963641,-0.82,-2.8118,-0.460194,-0.62547,0.957692,-0.82,-2.8072,-0.460194,-0.63505,0.945796,-0.82,-2.8026,-0.306796,-0.64451,0.945796,-0.82
-2.8379,-0.613592,-0.58651,0.957692,-2.8317,-0.76699,-0.59609,0.957692,-0.82,-2.8241,-0.613592,-0.60566,1.01718,-0.82,-2.8179,-0.613592,-0.61584,0.963641,-0.82,-2.8118,-0.460194,-0.62547,0.957692,-0.82,-2.8072,-0.460194,-0.63505,0.945796,-0.82
-2.8455,-0.76699,-0.57652,0.999331,-2.8379,-0.613592,-0.58651,0.957692,-0.82,-2.8317,-0.76699,-0.59609,0.957692,-0.82,-2.8241,-0.613592,-0.60566,1.01718,-0.82,-2.8179,-0.613592,-0.61584,0.963641,-0.82,-2.8118,-0.460194,-0.62547,0.957692,-0.82
