x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
3.0833,0.92038847,-0.35446,-1.0588,3.0741,0.76699039,-0.34387,-1.0053,0.28325,3.0664,0.92038847,-0.33382,-1.0826,0.28325,3.0572,1.0737866,-0.323,-1.0291,0.28325
3.0925,0.92038847,-0.36505,-1.0588,3.0833,0.92038847,-0.35446,-1.0588,0.28325,3.0741,0.76699039,-0.34387,-1.0053,0.28325,3.0664,0.92038847,-0.33382,-1.0826,0.28325
3.1017,0.92038847,-0.37617,-1.1124,3.0925,0.92038847,-0.36505,-1.0588,0.28325,3.0833,0.92038847,-0.35446,-1.0588,0.28325,3.0741,0.76699039,-0.34387,-1.0053,0.28325
3.1094,0.76699039,-0.38646,-1.0291,3.1017,0.92038847,-0.37617,-1.1124,0.28325,3.0925,0.92038847,-0.36505,-1.0588,0.28325,3.0833,0.92038847,-0.35446,-1.0588,0.28325
3.117,0.76699039,-0.39735,-1.0886,3.1094,0.76699039,-0.38646,-1.0291,0.28325,3.1017,0.92038847,-0.37617,-1.1124,0.28325,3.0925,0.92038847,-0.36505,-1.0588,0.28325
3.1263,0.92038847,-0.40865,-1.1302,3.117,0.76699039,-0.39735,-1.0886,0.28325,3.1094,0.76699039,-0.38646,-1.0291,0.28325,3.1017,0.92038847,-0.37617,-1.1124,0.28325
3.1339,0.76699039,-0.4193,-1.0648,3.1263,0.92038847,-0.40865,-1.1302,0.28325,3.117,0.76699039,-0.39735,-1.0886,0.28325,3.1094,0.76699039,-0.38646,-1.0291,0.28325
-3.1416,0.76699039,-0.4306,-1.1302,3.1339,0.76699039,-0.4193,-1.0648,0.28325,3.1263,0.92038847,-0.40865,-1.1302,0.28325,3.117,0.76699039,-0.39735,-1.0886,0.28325
-3.1339,0.76699039,-0.44167,-1.1064,-3.1416,0.76699039,-0.4306,-1.1302,0.28325,3.1339,0.76699039,-0.4193,-1.0648,0.28325,3.1263,0.92038847,-0.40865,-1.1302,0.28325
-3.1263,0.76699039,-0.45303,-1.1361,-3.1339,0.76699039,-0.44167,-1.1064,0.28325,-3.1416,0.76699039,-0.4306,-1.1302,0.28325,3.1339,0.76699039,-0.4193,-1.0648,0.28325
-3.1186,0.76699039,-0.46445,-1.1421,-3.1263,0.76699039,-0.45303,-1.1361,0.28325,-3.1339,0.76699039,-0.44167,-1.1064,0.28325,-3.1416,0.76699039,-0.4306,-1.1302,0.28325
-3.1124,0.61359232,-0.47581,-1.1361,-3.1186,0.76699039,-0.46445,-1.1421,0.28325,-3.1263,0.76699039,-0.45303,-1.1361,0.28325,-3.1339,0.76699039,-0.44167,-1.1064,0.28325
-3.1048,0.76699039,-0.48789,-1.2075,-3.1124,0.61359232,-0.47581,-1.1361,-0.33571,-3.1186,0.76699039,-0.46445,-1.1421,0.28325,-3.1263,0.76699039,-0.45303,-1.1361,0.28325
-3.0986,0.61359232,-0.49847,-1.0588,-3.1048,0.76699039,-0.48789,-1.2075,-0.33571,-3.1124,0.61359232,-0.47581,-1.1361,-0.33571,-3.1186,0.76699039,-0.46445,-1.1421,0.28325
-3.0894,0.92038847,-0.50864,-1.0172,-3.0986,0.61359232,-0.49847,-1.0588,-0.33571,-3.1048,0.76699039,-0.48789,-1.2075,-0.33571,-3.1124,0.61359232,-0.47581,-1.1361,-0.33571
-3.0787,1.0737866,-0.5181,-0.9458,-3.0894,0.92038847,-0.50864,-1.0172,-1,-3.0986,0.61359232,-0.49847,-1.0588,-0.33571,-3.1048,0.76699039,-0.48789,-1.2075,-0.33571
-3.0634,1.5339808,-0.52738,-0.92795,-3.0787,1.0737866,-0.5181,-0.9458,-1,-3.0894,0.92038847,-0.50864,-1.0172,-1,-3.0986,0.61359232,-0.49847,-1.0588,-0.33571
-3.048,1.5339808,-0.53547,-0.80898,-3.0634,1.5339808,-0.52738,-0.92795,-1,-3.0787,1.0737866,-0.5181,-0.9458,-1,-3.0894,0.92038847,-0.50864,-1.0172,-1
-3.0311,1.6873789,-0.54315,-0.76734,-3.048,1.5339808,-0.53547,-0.80898,-1,-3.0634,1.5339808,-0.52738,-0.92795,-1,-3.0787,1.0737866,-0.5181,-0.9458,-1
-3.0143,1.6873789,-0.54927,-0.61269,-3.0311,1.6873789,-0.54315,-0.76734,-1,-3.048,1.5339808,-0.53547,-0.80898,-1,-3.0634,1.5339808,-0.52738,-0.92795,-1
-2.9943,1.994175,-0.55534,-0.60674,-3.0143,1.6873789,-0.54927,-0.61269,-1,-3.0311,1.6873789,-0.54315,-0.76734,-1,-3.048,1.5339808,-0.53547,-0.80898,-1
-2.9729,2.1475731,-0.56081,-0.54725,-2.9943,1.994175,-0.55534,-0.60674,-1,-3.0143,1.6873789,-0.54927,-0.61269,-1,-3.0311,1.6873789,-0.54315,-0.76734,-1
-2.9514,2.1475731,-0.56545,-0.46398,-2.9729,2.1475731,-0.56081,-0.54725,-1,-2.9943,1.994175,-0.55534,-0.60674,-1,-3.0143,1.6873789,-0.54927,-0.61269,-1
-2.9284,2.3009712,-0.56962,-0.41639,-2.9514,2.1475731,-0.56545,-0.46398,-1,-2.9729,2.1475731,-0.56081,-0.54725,-1,-2.9943,1.994175,-0.55534,-0.60674,-1
-2.9038,2.4543693,-0.57319,-0.3569,-2.9284,2.3009712,-0.56962,-0.41639,-1,-2.9514,2.1475731,-0.56545,-0.46398,-1,-2.9729,2.1475731,-0.56081,-0.54725,-1
-2.8793,2.4543693,-0.57616,-0.29742,-2.9038,2.4543693,-0.57319,-0.3569,-1,-2.9284,2.3009712,-0.56962,-0.41639,-1,-2.9514,2.1475731,-0.56545,-0.46398,-1
-2.8517,2.7611654,-0.57854,-0.23794,-2.8793,2.4543693,-0.57616,-0.29742,-1,-2.9038,2.4543693,-0.57319,-0.3569,-1,-2.9284,2.3009712,-0.56962,-0.41639,-1
-2.8256,2.6077673,-0.58032,-0.17845,-2.8517,2.7611654,-0.57854,-0.23794,-1,-2.8793,2.4543693,-0.57616,-0.29742,-1,-2.9038,2.4543693,-0.57319,-0.3569,-1
-2.798,2.7611654,-0.58163,-0.13086,-2.8256,2.6077673,-0.58032,-0.17845,-1,-2.8517,2.7611654,-0.57854,-0.23794,-1,-2.8793,2.4543693,-0.57616,-0.29742,-1
